iter	Passed	Remaining
0	59	59159
1	59	29713
2	59	19892
3	60	14966
4	60	12009
5	60	10039
6	60	8630
7	61	7577
8	61	6760
9	61	6102
10	61	5565
11	62	5117
12	62	4736
13	62	4409
14	62	4129
15	63	3884
16	63	3666
17	63	3473
18	63	3299
19	64	3145
20	64	3003
21	64	2873
22	64	2755
23	65	2647
24	65	2552
25	65	2461
26	65	2376
27	66	2296
28	66	2224
29	66	2156
30	66	2090
31	67	2029
32	67	1974
33	67	1920
34	67	1870
35	68	1822
36	68	1777
37	68	1735
38	68	1694
39	69	1658
40	69	1624
41	69	1589
42	69	1556
43	70	1524
44	70	1495
45	70	1465
46	70	1437
47	71	1410
48	71	1385
49	71	1360
50	71	1336
51	72	1313
52	72	1291
53	72	1270
54	72	1250
55	73	1230
56	73	1212
57	73	1195
58	73	1178
59	74	1161
60	74	1144
61	74	1129
62	74	1114
63	75	1099
64	75	1086
65	75	1072
66	76	1061
67	76	1047
68	76	1034
69	76	1021
70	77	1008
71	77	997
72	77	985
73	77	974
74	78	963
75	78	952
76	78	942
77	78	932
78	79	922
79	79	912
80	79	902
81	79	893
82	79	883
83	80	874
84	80	865
85	80	856
86	80	847
87	81	839
88	81	831
89	81	823
90	81	815
91	81	808
92	82	801
93	82	793
94	82	787
95	82	780
96	83	774
97	83	767
98	83	761
99	83	754
100	84	748
101	84	740
102	84	734
103	84	728
104	84	722
105	85	716
106	85	711
107	85	705
108	85	700
109	85	695
110	86	690
111	86	685
112	86	680
113	86	674
114	87	669
115	87	665
116	87	660
117	87	656
118	87	651
119	88	646
120	88	642
121	88	637
122	88	632
123	88	628
124	89	623
125	89	619
126	89	615
127	89	611
128	89	607
129	90	603
130	90	599
131	90	595
132	90	591
133	91	588
134	91	584
135	91	581
136	91	577
137	91	573
138	92	570
139	92	567
140	92	564
141	92	560
142	93	557
143	93	554
144	93	551
145	93	547
146	93	544
147	94	541
148	94	538
149	94	535
150	94	533
151	95	530
152	95	527
153	95	524
154	95	521
155	95	518
156	96	516
157	96	513
158	96	510
159	96	508
160	97	505
161	97	503
162	97	500
163	97	498
164	97	495
165	98	493
166	98	490
167	98	488
168	98	485
169	99	483
170	99	481
171	99	478
172	99	476
173	99	474
174	100	472
175	100	470
176	100	467
177	100	465
178	101	463
179	101	461
180	101	458
181	101	456
182	101	454
183	102	452
184	102	450
185	102	448
186	102	446
187	102	444
188	103	442
189	103	440
190	103	438
191	103	437
192	104	435
193	104	433
194	104	431
195	104	429
196	104	427
197	105	426
198	105	424
199	105	422
200	105	420
201	106	419
202	106	417
203	106	415
204	106	414
205	107	412
206	107	410
207	107	409
208	107	407
209	107	405
210	108	404
211	108	402
212	108	401
213	108	399
214	109	397
215	109	396
216	109	394
217	109	393
218	109	391
219	110	390
220	110	389
221	110	387
222	110	386
223	111	384
224	111	383
225	111	381
226	111	380
227	112	379
228	112	378
229	112	376
230	112	375
231	113	374
232	113	372
233	113	371
234	113	370
235	113	368
236	114	367
237	114	366
238	114	364
239	114	363
240	114	362
241	115	360
242	115	359
243	115	358
244	115	357
245	116	355
246	116	354
247	116	353
248	116	352
249	116	350
250	117	349
251	117	348
252	117	347
253	117	346
254	118	345
255	118	343
256	118	342
257	118	341
258	119	340
259	119	339
260	119	338
261	119	337
262	119	336
263	120	335
264	120	334
265	120	332
266	120	331
267	121	330
268	121	329
269	121	328
270	121	327
271	122	326
272	122	325
273	122	324
274	122	323
275	122	322
276	123	321
277	123	320
278	123	319
279	123	318
280	124	317
281	124	316
282	124	315
283	124	314
284	125	313
285	125	312
286	125	311
287	125	310
288	125	309
289	126	308
290	126	307
291	126	306
292	126	305
293	127	305
294	127	304
295	127	303
296	127	302
297	127	301
298	128	300
299	128	299
300	128	298
301	128	297
302	129	296
303	129	295
304	129	295
305	129	294
306	129	293
307	130	292
308	130	291
309	130	290
310	130	289
311	131	289
312	131	288
313	131	287
314	131	286
315	131	285
316	132	284
317	132	284
318	132	283
319	132	282
320	133	281
321	133	280
322	133	280
323	133	279
324	134	278
325	134	277
326	134	277
327	134	276
328	135	275
329	135	274
330	135	273
331	135	273
332	135	272
333	136	271
334	136	270
335	136	270
336	136	269
337	137	268
338	137	267
339	137	266
340	137	266
341	138	265
342	138	264
343	138	264
344	138	263
345	139	262
346	139	262
347	139	261
348	139	260
349	140	260
350	140	259
351	140	258
352	140	258
353	141	257
354	141	256
355	141	255
356	141	255
357	142	254
358	142	253
359	142	253
360	142	252
361	143	252
362	143	251
363	143	250
364	143	250
365	144	249
366	144	248
367	144	248
368	144	247
369	144	246
370	145	246
371	145	245
372	145	244
373	145	244
374	146	243
375	146	242
376	146	242
377	146	241
378	147	240
379	147	240
380	147	239
381	147	238
382	147	238
383	148	237
384	148	237
385	148	236
386	148	235
387	149	235
388	149	234
389	149	233
390	149	233
391	150	232
392	150	232
393	150	231
394	150	230
395	150	230
396	151	229
397	151	229
398	151	228
399	151	227
400	152	227
401	152	226
402	152	226
403	152	225
404	153	225
405	153	224
406	153	223
407	153	223
408	154	222
409	154	222
410	154	221
411	154	221
412	155	220
413	155	220
414	155	219
415	155	218
416	156	218
417	156	217
418	156	217
419	156	216
420	157	216
421	157	215
422	157	215
423	157	214
424	158	213
425	158	213
426	158	212
427	158	212
428	159	211
429	159	211
430	159	210
431	159	210
432	160	209
433	160	209
434	160	208
435	160	208
436	161	207
437	161	206
438	161	206
439	161	205
440	162	205
441	162	204
442	162	204
443	162	203
444	163	203
445	163	202
446	163	202
447	163	201
448	164	201
449	164	200
450	164	200
451	164	199
452	164	199
453	165	198
454	165	198
455	165	197
456	165	197
457	166	196
458	166	196
459	166	195
460	166	195
461	167	194
462	167	194
463	167	193
464	167	193
465	168	192
466	168	192
467	168	191
468	168	191
469	169	190
470	169	190
471	169	189
472	169	189
473	170	188
474	170	188
475	170	187
476	170	187
477	171	186
478	171	186
479	171	185
480	171	185
481	172	184
482	172	184
483	172	183
484	172	183
485	173	183
486	173	182
487	173	182
488	173	181
489	174	181
490	174	180
491	174	180
492	174	179
493	175	179
494	175	178
495	175	178
496	175	177
497	176	177
498	176	177
499	176	176
500	176	176
501	177	175
502	177	175
503	177	174
504	177	174
505	178	173
506	178	173
507	178	173
508	178	172
509	179	172
510	179	171
511	179	171
512	179	170
513	180	170
514	180	169
515	180	169
516	180	168
517	180	168
518	181	167
519	181	167
520	181	166
521	181	166
522	182	166
523	182	165
524	182	165
525	182	164
526	183	164
527	183	163
528	183	163
529	183	163
530	184	162
531	184	162
532	184	161
533	184	161
534	185	160
535	185	160
536	185	159
537	185	159
538	185	159
539	186	158
540	186	158
541	186	157
542	186	157
543	187	156
544	187	156
545	187	155
546	187	155
547	188	155
548	188	154
549	188	154
550	188	153
551	188	153
552	189	152
553	189	152
554	189	152
555	189	151
556	190	151
557	190	150
558	190	150
559	190	149
560	191	149
561	191	149
562	191	148
563	191	148
564	192	147
565	192	147
566	192	147
567	192	146
568	192	146
569	193	145
570	193	145
571	193	144
572	193	144
573	194	144
574	194	143
575	194	143
576	194	142
577	195	142
578	195	141
579	195	141
580	195	141
581	195	140
582	196	140
583	196	139
584	196	139
585	196	139
586	197	138
587	197	138
588	197	137
589	197	137
590	198	137
591	198	136
592	198	136
593	198	135
594	199	135
595	199	135
596	199	134
597	199	134
598	199	133
599	200	133
600	200	133
601	200	132
602	200	132
603	201	131
604	201	131
605	201	131
606	201	130
607	202	130
608	202	129
609	202	129
610	202	129
611	203	128
612	203	128
613	203	127
614	203	127
615	204	127
616	204	126
617	204	126
618	204	125
619	204	125
620	205	125
621	205	124
622	205	124
623	205	124
624	206	123
625	206	123
626	206	122
627	206	122
628	206	122
629	207	121
630	207	121
631	207	120
632	207	120
633	208	120
634	208	119
635	208	119
636	208	119
637	209	118
638	209	118
639	209	117
640	209	117
641	210	117
642	210	116
643	210	116
644	210	115
645	210	115
646	211	115
647	211	114
648	211	114
649	211	114
650	212	113
651	212	113
652	212	112
653	212	112
654	213	112
655	213	111
656	213	111
657	213	111
658	214	110
659	214	110
660	214	109
661	214	109
662	215	109
663	215	108
664	215	108
665	215	108
666	215	107
667	216	107
668	216	107
669	216	106
670	216	106
671	217	105
672	217	105
673	217	105
674	217	104
675	218	104
676	218	104
677	218	103
678	218	103
679	219	103
680	219	102
681	219	102
682	219	102
683	220	101
684	220	101
685	220	100
686	220	100
687	221	100
688	221	99
689	221	99
690	221	99
691	222	98
692	222	98
693	222	98
694	222	97
695	223	97
696	223	97
697	223	96
698	223	96
699	224	96
700	224	95
701	224	95
702	224	94
703	225	94
704	225	94
705	225	93
706	225	93
707	225	93
708	226	92
709	226	92
710	226	92
711	226	91
712	227	91
713	227	91
714	227	90
715	227	90
716	228	90
717	228	89
718	228	89
719	228	89
720	229	88
721	229	88
722	229	87
723	229	87
724	230	87
725	230	86
726	230	86
727	230	86
728	231	85
729	231	85
730	231	85
731	231	84
732	232	84
733	232	84
734	232	83
735	232	83
736	233	83
737	233	82
738	233	82
739	233	82
740	234	81
741	234	81
742	234	81
743	234	80
744	235	80
745	235	80
746	235	79
747	235	79
748	236	79
749	236	78
750	236	78
751	237	78
752	237	77
753	237	77
754	237	77
755	237	76
756	238	76
757	238	76
758	238	75
759	239	75
760	239	75
761	239	74
762	239	74
763	240	74
764	240	73
765	240	73
766	241	73
767	241	72
768	241	72
769	241	72
770	242	71
771	242	71
772	242	71
773	243	71
774	243	70
775	243	70
776	243	70
777	244	69
778	244	69
779	244	69
780	244	68
781	245	68
782	245	68
783	245	67
784	246	67
785	246	67
786	246	66
787	246	66
788	246	66
789	247	65
790	247	65
791	247	65
792	247	64
793	248	64
794	248	64
795	248	63
796	249	63
797	249	63
798	249	62
799	249	62
800	250	62
801	250	61
802	250	61
803	250	61
804	251	60
805	251	60
806	251	60
807	251	59
808	251	59
809	252	59
810	252	58
811	252	58
812	252	58
813	253	57
814	253	57
815	253	57
816	254	56
817	254	56
818	254	56
819	254	55
820	255	55
821	255	55
822	255	54
823	255	54
824	255	54
825	256	53
826	256	53
827	256	53
828	257	53
829	257	52
830	257	52
831	257	52
832	258	51
833	258	51
834	258	51
835	258	50
836	259	50
837	259	50
838	259	49
839	259	49
