iter	Passed	Remaining
0	57	57734
1	58	28989
2	58	19435
3	58	14645
4	59	11773
5	59	9863
6	59	8490
7	60	7467
8	60	6674
9	61	6041
10	61	5522
11	61	5085
12	62	4717
13	63	4448
14	63	4174
15	63	3931
16	64	3715
17	64	3523
18	64	3351
19	65	3199
20	65	3060
21	66	2934
22	66	2818
23	66	2709
24	66	2610
25	67	2519
26	67	2436
27	67	2359
28	68	2285
29	68	2218
30	68	2154
31	69	2094
32	69	2038
33	69	1986
34	70	1937
35	70	1891
36	70	1847
37	71	1803
38	71	1763
39	71	1725
40	72	1689
41	72	1654
42	72	1622
43	73	1590
44	73	1559
45	73	1531
46	74	1504
47	74	1478
48	74	1452
49	75	1429
50	75	1408
51	75	1384
52	76	1363
53	76	1343
54	77	1323
55	77	1303
56	77	1284
57	77	1266
58	78	1249
59	78	1232
60	78	1216
61	79	1199
62	79	1184
63	79	1169
64	80	1154
65	80	1141
66	80	1127
67	81	1113
68	81	1100
69	81	1087
70	82	1075
71	82	1064
72	82	1051
73	83	1040
74	83	1030
75	83	1018
76	84	1008
77	84	998
78	84	988
79	85	978
80	85	968
81	85	959
82	85	948
83	86	938
84	86	930
85	86	922
86	87	914
87	87	906
88	87	899
89	88	891
90	88	883
91	88	876
92	89	870
93	89	863
94	89	856
95	90	849
96	90	842
97	90	835
98	91	829
99	91	822
100	91	816
101	92	811
102	92	805
103	92	799
104	93	793
105	93	788
106	93	783
107	94	777
108	94	771
109	94	766
110	95	761
111	95	756
112	95	751
113	96	746
114	96	741
115	96	736
116	96	731
117	97	726
118	97	722
119	97	717
120	98	712
121	98	707
122	98	703
123	99	699
124	99	695
125	99	691
126	99	687
127	100	682
128	100	679
129	100	675
130	101	672
131	101	668
132	101	664
133	102	661
134	102	657
135	102	654
136	103	650
137	103	646
138	103	642
139	104	639
140	104	636
141	104	631
142	104	628
143	105	625
144	105	622
145	105	618
146	106	616
147	106	613
148	106	610
149	107	607
150	107	604
151	107	600
152	107	597
153	108	594
154	108	592
155	108	589
156	109	586
157	109	584
158	109	581
159	110	578
160	110	575
161	110	572
162	110	569
163	111	567
164	111	565
165	111	562
166	112	559
167	112	557
168	112	554
169	113	552
170	113	549
171	113	547
172	113	544
173	114	542
174	114	540
175	114	537
176	115	535
177	115	533
178	115	531
179	116	529
180	116	527
181	116	525
182	117	523
183	117	521
184	117	519
185	118	517
186	118	514
187	118	512
188	119	510
189	119	508
190	119	507
191	120	505
192	120	503
193	120	501
194	121	499
195	121	497
196	121	495
197	121	494
198	122	492
199	122	490
200	122	488
201	123	486
202	123	485
203	124	484
204	124	482
205	124	481
206	125	479
207	125	478
208	125	476
209	126	475
210	126	473
211	126	471
212	127	470
213	127	468
214	128	467
215	128	465
216	128	464
217	129	463
218	129	461
219	129	459
220	130	458
221	130	457
222	130	455
223	131	453
224	131	452
225	131	451
226	132	449
227	132	448
228	132	446
229	133	445
230	133	444
231	133	442
232	134	441
233	134	439
234	134	438
235	134	436
236	135	435
237	135	433
238	135	432
239	136	431
240	136	430
241	136	428
242	137	427
243	137	426
244	137	424
245	138	423
246	138	422
247	138	421
248	139	419
249	139	418
250	139	417
251	140	416
252	140	414
253	140	413
254	141	412
255	141	410
256	141	409
257	142	408
258	142	407
259	142	406
260	143	405
261	143	404
262	143	402
263	144	402
264	144	400
265	144	400
266	145	398
267	145	397
268	145	396
269	146	395
270	146	394
271	146	392
272	147	391
273	147	390
274	147	389
275	148	388
276	148	387
277	148	386
278	148	385
279	149	384
280	149	383
281	150	382
282	150	381
283	150	379
284	150	378
285	151	377
286	151	376
287	151	375
288	152	374
289	152	373
290	152	372
291	153	371
292	153	370
293	153	369
294	154	368
295	154	367
296	154	366
297	155	365
298	155	364
299	155	363
300	156	362
301	156	361
302	156	360
303	157	360
304	157	359
305	157	358
306	158	357
307	158	356
308	158	355
309	159	354
310	159	353
311	159	352
312	160	351
313	160	351
314	160	350
315	161	349
316	161	348
317	161	347
318	162	346
319	162	345
320	162	344
321	163	343
322	163	342
323	164	342
324	164	341
325	164	340
326	164	339
327	165	338
328	165	337
329	165	336
330	166	336
331	166	335
332	166	334
333	167	333
334	167	332
335	167	331
336	168	330
337	168	329
338	168	329
339	169	328
340	169	327
341	169	326
342	170	325
343	170	324
344	170	324
345	171	323
346	171	322
347	171	321
348	172	321
349	172	320
350	172	319
351	173	318
352	173	317
353	173	316
354	174	316
355	174	315
356	174	314
357	174	313
